Country Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,12.5,14.8,15.4,16.7,16.7,17.4,19.3,19.8,20.2,21.4,22.4,22.6,25.2,25.0,25.9,25.7,28.1,29.0,28.7,28.8,29.3,30.1
Afghanistan,,,,,,,27.3,27.3,27.7,27.7,27.3,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,,27.9,27.0
Africa Western and Central,,6.8,7.4,7.9,9.0,10.1,10.7,11.2,12.3,11.2,11.1,11.2,11.9,13.6,14.7,15.6,15.1,14.8,15.3,15.3,15.4,16.3
Angola,15.5,15.5,15.5,15.5,15.5,15.0,15.0,15.0,15.0,37.3,38.6,38.6,38.2,34.1,34.1,36.8,36.8,36.8,30.5,30.5,30.0,30.0
Albania,5.2,5.2,5.7,5.7,5.7,6.4,7.1,7.1,7.1,7.1,16.4,16.4,15.7,15.7,17.9,20.0,20.7,22.9,27.9,27.9,29.5,29.5
Andorra,7.1,7.1,14.3,14.3,14.3,14.3,28.6,28.6,28.6,25.0,35.7,35.7,50.0,50.0,50.0,50.0,39.3,32.1,32.1,32.1,46.4,46.4
Arab World,3.6,3.8,4.6,6.1,6.0,6.7,7.0,9.3,9.8,9.8,9.9,11.9,11.3,14.9,17.4,17.8,18.8,19.3,18.9,19.1,17.6,19.5
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,50.0,50.0
Argentina,,26.5,,30.7,30.7,33.7,36.2,35.0,40.0,40.0,38.5,38.5,37.4,37.4,36.6,36.6,,35.8,38.1,38.9,40.2,40.9
Armenia,3.1,3.1,3.1,3.1,4.6,5.3,5.3,5.3,9.2,8.4,9.2,9.2,8.4,10.7,10.7,10.7,10.7,10.7,18.1,18.1,23.5,23.5
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,5.3,5.3,5.3,5.3,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,11.1,11.1,11.1,11.1,11.1,11.1,11.1
Australia,22.4,23.0,,25.3,25.3,24.7,24.7,24.7,26.7,26.7,27.3,24.7,24.7,24.7,26.0,26.0,26.7,28.7,28.7,28.7,30.5,30.5
Austria,,26.8,26.8,,33.9,33.9,33.9,32.2,32.8,27.3,27.9,27.9,27.9,27.9,33.3,32.2,30.6,30.6,34.4,34.4,39.3,39.3
Azerbaijan,12.0,,10.5,10.5,10.5,10.5,13.0,11.3,11.4,11.4,11.4,16.0,16.0,16.0,15.6,15.6,16.9,16.8,16.8,16.8,16.8,17.4
Burundi,6.0,14.4,14.4,18.4,18.4,18.4,30.5,30.5,30.5,30.5,31.4,32.1,30.5,30.5,30.5,30.5,36.4,36.4,36.4,36.4,36.4,38.2
Belgium,23.3,23.3,23.3,23.3,35.3,34.7,34.7,34.7,35.3,35.3,38.0,39.3,38.0,38.0,38.0,39.3,39.3,39.3,38.0,38.0,42.0,41.3
Benin,6.0,6.0,6.0,6.0,6.0,7.2,7.2,7.2,10.8,10.8,10.8,10.8,8.4,8.4,8.4,8.4,7.2,7.2,7.2,7.2,7.2,7.2
Burkina Faso,8.1,8.1,8.1,11.7,11.7,11.7,11.7,11.7,15.3,15.3,15.3,15.3,15.3,15.7,15.7,,9.4,9.4,11.0,11.0,13.4,6.3
Bangladesh,9.1,9.1,,2.0,2.0,2.0,14.8,15.1,,6.3,18.6,18.6,19.7,19.7,19.7,19.8,20.0,20.0,20.3,20.3,20.6,20.9
